epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.3765,1.7681,2.81089,1.75599,0.99652,0.19567,0.20273,0.13209,1.30332,1.54967,1.4722,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897
2,83.6318,1.37229,1.59086,1.3872,0.84899,0.21504,0.22002,0.13514,1.38275,1.13031,1.59697,0.0198887,0.00662957,0.0198887,0.00662957,0.0198887,0.00662957,0.0198887,0.00662957
3,119.303,1.38985,1.45361,1.39918,0.84449,0.22384,0.2417,0.14337,1.28047,0.98369,1.47184,0.0298722,0.00995741,0.0298722,0.00995741,0.0298722,0.00995741,0.0298722,0.00995741
4,154.65,1.40834,1.32587,1.4157,0.97764,0.17447,0.19585,0.11042,1.52868,1.29016,1.7142,0.0299629,0.00998762,0.0299629,0.00998762,0.0299629,0.00998762,0.0299629,0.00998762
5,190.096,1.41483,1.2158,1.40647,0.64508,0.27769,0.27269,0.14459,1.43293,1.0956,1.60507,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
6,225.47,1.37394,1.10371,1.38513,0.56632,0.3071,0.33866,0.18148,1.50197,0.90109,1.66239,0.0299381,0.00997938,0.0299381,0.00997938,0.0299381,0.00997938,0.0299381,0.00997938
7,260.839,1.36619,1.04275,1.39093,0.40338,0.42365,0.37082,0.21426,1.21721,0.67604,1.40411,0.0299258,0.00997525,0.0299258,0.00997525,0.0299258,0.00997525,0.0299258,0.00997525
8,296.182,1.34907,0.99399,1.37284,0.34814,0.42392,0.40243,0.24106,1.19823,0.63029,1.38532,0.0299134,0.00997112,0.0299134,0.00997112,0.0299134,0.00997112,0.0299134,0.00997112
9,331.584,1.33315,0.97198,1.37189,0.36942,0.57494,0.43079,0.23886,1.21488,0.60429,1.38943,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967
10,366.904,1.30486,0.92064,1.34103,0.71532,0.54995,0.48197,0.26662,1.21291,0.64735,1.41352,0.0298886,0.00996287,0.0298886,0.00996287,0.0298886,0.00996287,0.0298886,0.00996287
