epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,345.759,1.79516,2.34334,1.74935,0.85471,0.19422,0.06363,0.03712,1.4038,3.62278,1.17513,0.000366172,0.000366172,0.000366172
2,684.258,1.41261,1.36786,1.45198,0.8545,0.19278,0.07192,0.0438,1.26306,4.8185,1.10655,0.000727391,0.000727391,0.000727391
3,1024.4,1.37397,1.2316,1.4196,0.48094,0.21848,0.08692,0.04652,1.27876,4.25925,1.20074,0.00107944,0.00107944,0.00107944
4,1367.83,1.34633,1.17364,1.42583,0.32006,0.28039,0.10674,0.05973,1.17497,2.61164,1.15875,0.00106975,0.00106975,0.00106975
5,1715.27,1.32726,1.08402,1.41639,0.07243,0.41917,0.09013,0.05472,1.30848,3.55971,1.21171,0.00105601,0.00105601,0.00105601
6,2051.2,1.31175,1.05379,1.40704,0.48415,0.27059,0.09048,0.05232,1.18182,2.68862,1.2332,0.00104226,0.00104226,0.00104226
7,2388.74,1.31378,1.00639,1.40413,0.12078,0.37284,0.1531,0.09869,1.17515,2.78789,1.16777,0.00102851,0.00102851,0.00102851
8,2729.69,1.29038,0.99474,1.4001,0.1644,0.45148,0.1655,0.10181,1.14297,2.41246,1.25819,0.00101476,0.00101476,0.00101476
9,3073.86,1.30306,1.01419,1.40483,0.34677,0.28543,0.08999,0.05536,1.14633,3.05364,1.15118,0.00100101,0.00100101,0.00100101
10,3406.74,1.27985,0.95129,1.39584,0.08731,0.33249,0.10424,0.06355,1.16008,2.60425,1.20089,0.000987262,0.000987262,0.000987262
11,3743.42,1.26679,0.92817,1.40572,0.14032,0.46064,0.14556,0.0956,1.18956,2.82192,1.26647,0.000973514,0.000973514,0.000973514
12,4082.9,1.26287,0.9208,1.39149,0.21439,0.47261,0.17369,0.12069,1.12282,3.52036,1.19832,0.000959765,0.000959765,0.000959765
13,4428.04,1.24645,0.87775,1.37327,0.1433,0.55917,0.15954,0.10651,1.16875,3.06085,1.25767,0.000946016,0.000946016,0.000946016
14,4774.16,1.24683,0.907,1.38662,0.17119,0.58007,0.18505,0.11315,1.09109,2.80511,1.22835,0.000932268,0.000932268,0.000932268
15,5107.1,1.23978,0.88532,1.37634,0.33381,0.412,0.15839,0.10243,1.09554,2.84415,1.24755,0.000918519,0.000918519,0.000918519
16,5443.49,1.23592,0.88712,1.38189,0.34673,0.38019,0.15898,0.0945,1.13655,2.81439,1.16385,0.000904771,0.000904771,0.000904771
17,5785.27,1.20702,0.86777,1.35719,0.26276,0.50978,0.21647,0.14629,1.08874,2.51862,1.17378,0.000891022,0.000891022,0.000891022
18,6130.11,1.20854,0.85312,1.35532,0.33913,0.45026,0.15954,0.09328,1.09419,2.67523,1.20853,0.000877273,0.000877273,0.000877273
19,6462.33,1.23035,0.87614,1.37857,0.15883,0.44625,0.20178,0.13399,1.07198,2.82679,1.20888,0.000863525,0.000863525,0.000863525
20,6798.26,1.20345,0.85614,1.36892,0.16103,0.61326,0.15525,0.0947,1.1545,2.51596,1.26543,0.000849776,0.000849776,0.000849776
21,7136.53,1.19335,0.83513,1.35756,0.13397,0.5165,0.17059,0.11463,1.09437,2.60736,1.21018,0.000836027,0.000836027,0.000836027
22,7478.66,1.20178,0.83056,1.35833,0.15484,0.54867,0.16093,0.10269,1.10986,2.69552,1.23899,0.000822279,0.000822279,0.000822279
23,7822.69,1.20272,0.81814,1.3565,0.12742,0.46326,0.13511,0.08319,1.10024,2.64915,1.22077,0.00080853,0.00080853,0.00080853
24,8156.41,1.21261,0.81848,1.3578,0.13311,0.39188,0.13791,0.08488,1.13923,2.48729,1.13947,0.000794782,0.000794782,0.000794782
25,8492.32,1.19765,0.81404,1.34128,0.14561,0.50101,0.15267,0.08938,1.12151,2.59312,1.23408,0.000781033,0.000781033,0.000781033
26,8831.3,1.18756,0.80865,1.35721,0.14558,0.55222,0.15284,0.09492,1.0757,2.76447,1.19853,0.000767284,0.000767284,0.000767284
27,9173.85,1.1861,0.80706,1.34741,0.18085,0.59485,0.16062,0.09973,1.08299,2.82124,1.16414,0.000753536,0.000753536,0.000753536
28,9506.14,1.18966,0.81251,1.35374,0.19899,0.59994,0.15463,0.09878,1.08527,2.4651,1.18445,0.000739787,0.000739787,0.000739787
29,9841.66,1.16328,0.78332,1.33764,0.16734,0.54564,0.17024,0.10532,1.08905,2.6608,1.24629,0.000726038,0.000726038,0.000726038
30,10179.7,1.17463,0.8021,1.33369,0.14404,0.5504,0.15848,0.09323,1.08905,2.64593,1.18401,0.00071229,0.00071229,0.00071229
31,10521.9,1.17518,0.79719,1.33727,0.13695,0.61153,0.15207,0.09199,1.04916,2.77074,1.18443,0.000698541,0.000698541,0.000698541
32,10864.8,1.16677,0.78652,1.33776,0.14857,0.50574,0.15287,0.0964,1.0842,2.57921,1.20244,0.000684793,0.000684793,0.000684793
33,11197.8,1.15546,0.77521,1.33289,0.15062,0.39966,0.15264,0.0926,1.06897,2.60821,1.26772,0.000671044,0.000671044,0.000671044
34,11533.9,1.1683,0.76177,1.35349,0.17308,0.69804,0.17171,0.10681,1.08782,2.61103,1.17882,0.000657295,0.000657295,0.000657295
35,11873.1,1.16679,0.77532,1.33262,0.20583,0.45335,0.19876,0.11389,1.06885,2.73174,1.18684,0.000643547,0.000643547,0.000643547
36,12215.4,1.15816,0.77649,1.33676,0.17566,0.50613,0.16717,0.1082,1.06745,2.57262,1.27787,0.000629798,0.000629798,0.000629798
37,12547.4,1.17997,0.93499,1.34576,0.1537,0.52656,0.16492,0.09813,1.08156,2.68919,1.22298,0.000616049,0.000616049,0.000616049
38,12882.6,1.13916,0.76236,1.32117,0.19933,0.52967,0.17368,0.1054,1.07952,2.73752,1.21159,0.000602301,0.000602301,0.000602301
39,13221.5,1.15249,0.77193,1.31866,0.14462,0.46945,0.14132,0.08326,1.07394,2.74562,1.20215,0.000588552,0.000588552,0.000588552
40,13563.6,1.15007,0.74578,1.32934,0.13912,0.53315,0.14287,0.08697,1.07599,3.03134,1.24699,0.000574804,0.000574804,0.000574804
41,13906.9,1.13954,0.72984,1.32282,0.16387,0.43401,0.14124,0.08964,1.02738,2.75272,1.20239,0.000561055,0.000561055,0.000561055
42,14240,1.15203,0.7645,1.33043,0.22211,0.5653,0.17937,0.11045,1.06214,2.76741,1.23537,0.000547306,0.000547306,0.000547306
43,14577.8,1.1332,0.73596,1.32251,0.16681,0.56664,0.14939,0.09149,1.11005,2.82891,1.21002,0.000533558,0.000533558,0.000533558
44,14917.8,1.14193,0.73778,1.32526,0.1862,0.55936,0.17464,0.10384,1.06461,2.88133,1.20493,0.000519809,0.000519809,0.000519809
45,15261.7,1.13325,0.74556,1.32165,0.16117,0.6388,0.17599,0.10286,1.07394,2.50062,1.18861,0.00050606,0.00050606,0.00050606
46,15594.2,1.11817,0.73604,1.30696,0.21145,0.47629,0.17174,0.10317,1.04331,2.81364,1.2055,0.000492312,0.000492312,0.000492312
47,15930.1,1.11784,0.72756,1.31433,0.20024,0.50176,0.18244,0.10578,1.08618,2.76172,1.17721,0.000478563,0.000478563,0.000478563
48,16268.9,1.11682,0.72872,1.29999,0.15164,0.54888,0.15459,0.09598,1.06662,2.5866,1.22645,0.000464815,0.000464815,0.000464815
49,16611.5,1.11878,0.73398,1.31028,0.17006,0.54564,0.16185,0.10483,1.05994,2.78403,1.19834,0.000451066,0.000451066,0.000451066
50,16954.4,1.10262,0.7011,1.30213,0.17022,0.48049,0.18008,0.11377,1.05244,2.54489,1.19385,0.000437317,0.000437317,0.000437317
51,17287.3,1.11863,0.72079,1.31467,0.20847,0.6221,0.17839,0.11406,1.06459,2.84748,1.22761,0.000423569,0.000423569,0.000423569
52,17623.2,1.10393,0.7154,1.31005,0.19005,0.5331,0.15934,0.10325,1.06419,2.87117,1.2549,0.00040982,0.00040982,0.00040982
53,17962.3,1.11291,0.71198,1.30553,0.18885,0.71592,0.17699,0.10819,1.07585,2.78328,1.23674,0.000396071,0.000396071,0.000396071
54,18306.2,1.11176,0.71489,1.31028,0.16637,0.53053,0.1572,0.10195,1.06997,2.81207,1.24458,0.000382323,0.000382323,0.000382323
55,18639.5,1.11545,0.70044,1.30111,0.17897,0.6279,0.1604,0.10337,1.07753,2.86319,1.20543,0.000368574,0.000368574,0.000368574
56,18974.5,1.10366,0.69264,1.30216,0.17009,0.55164,0.17373,0.11609,1.04929,2.81829,1.20779,0.000354826,0.000354826,0.000354826
57,19314.2,1.10305,0.71515,1.29641,0.20992,0.73231,0.2036,0.13344,1.0613,2.73712,1.23091,0.000341077,0.000341077,0.000341077
58,19656.4,1.09082,0.70488,1.29773,0.20406,0.64001,0.17963,0.11409,1.04913,2.73655,1.21893,0.000327328,0.000327328,0.000327328
59,19999.2,1.10228,0.69035,1.2966,0.18353,0.59312,0.19143,0.12379,1.03239,2.74812,1.22027,0.00031358,0.00031358,0.00031358
60,20332.1,1.08812,0.69097,1.29326,0.19442,0.51566,0.1771,0.11217,1.04772,2.63198,1.24093,0.000299831,0.000299831,0.000299831
61,20668.1,1.09194,0.70122,1.30788,0.21177,0.67379,0.17336,0.11284,1.03578,2.84159,1.24612,0.000286083,0.000286083,0.000286083
62,21007.5,1.0888,0.6855,1.30358,0.20474,0.60668,0.17362,0.11172,1.05313,2.59199,1.21103,0.000272334,0.000272334,0.000272334
63,21350,1.09077,0.68823,1.29102,0.18065,0.71887,0.17348,0.11067,1.03615,2.79645,1.20597,0.000258585,0.000258585,0.000258585
64,21682.6,1.06937,0.68497,1.28937,0.19713,0.62564,0.19737,0.12867,1.03529,2.89894,1.23198,0.000244837,0.000244837,0.000244837
65,22019,1.07918,0.68127,1.29452,0.20434,0.53919,0.20114,0.12686,1.04527,2.66122,1.2437,0.000231088,0.000231088,0.000231088
66,22357.7,1.07222,0.67944,1.29505,0.20888,0.66157,0.19598,0.12275,1.04091,2.69135,1.21138,0.000217339,0.000217339,0.000217339
67,22699,1.08966,0.67886,1.29961,0.18334,0.6134,0.17387,0.10984,1.02903,2.72473,1.19734,0.000203591,0.000203591,0.000203591
68,23042.8,1.07931,0.68808,1.29379,0.17921,0.58843,0.16691,0.10495,1.04441,2.75006,1.20658,0.000189842,0.000189842,0.000189842
69,23375.8,1.05884,0.67975,1.27861,0.18072,0.65878,0.18112,0.11895,1.03628,2.72037,1.25646,0.000176094,0.000176094,0.000176094
70,23711.4,1.05949,0.65086,1.29041,0.19917,0.70892,0.17679,0.11432,1.03286,2.88811,1.23893,0.000162345,0.000162345,0.000162345
71,24045.9,0.9814,0.54564,1.23081,0.21237,0.65972,0.19023,0.12617,1.04282,2.84176,1.24736,0.000148596,0.000148596,0.000148596
72,24380.7,0.98554,0.53316,1.2236,0.17168,0.60416,0.17579,0.1161,1.04125,2.76564,1.24032,0.000134848,0.000134848,0.000134848
73,24708.3,0.97122,0.52567,1.21543,0.20281,0.6164,0.17972,0.11216,1.0398,2.86993,1.21507,0.000121099,0.000121099,0.000121099
74,25037.8,0.97391,0.5333,1.20947,0.17784,0.50862,0.16299,0.10646,1.03147,2.72879,1.2198,0.00010735,0.00010735,0.00010735
